embed_dim,num_heads,aggregate,config,metric,mean,sd,ci
256,1,mean,embeddim256_numheads1_aggregateMean,mae,0.5832825303077698,0.007059200545302093,0.008765155173202005
256,1,mean,embeddim256_numheads1_aggregateMean,mse,0.8862134218215942,0.02041145524413539,0.02534416912759039
256,1,mean,embeddim256_numheads1_aggregateMean,nb,7.979937744140625,0.10404943172527564,0.12919443340683567
256,1,mean,embeddim256_numheads1_aggregateMean,num_epochs,157.6,28.263050083103206,35.093211767619216
256,1,mean,embeddim256_numheads1_aggregateMean,r2,0.7682615995407105,0.004272944451864808,0.005305561292205066
256,1,mean,embeddim256_numheads1_aggregateMean,rmse,0.9413390755653381,0.010850144287624486,0.013472233537259584
256,1,mean,embeddim256_numheads1_aggregateMean,time,68.42520950734615,11.369756335839103,14.117417110560586
256,2,concat,embeddim256_numheads2_aggregateConcat,best_epoch,163.0,72.84572739701348,90.4499171318374
256,2,concat,embeddim256_numheads2_aggregateConcat,kld,78.48871307373047,8.59980045343961,10.67806261477239
256,2,concat,embeddim256_numheads2_aggregateConcat,loss,7.998529529571533,0.10295150011170882,0.12783117124977977
256,2,concat,embeddim256_numheads2_aggregateConcat,mae,0.5893555521965027,0.01670287573575944,0.02073935946756375
256,2,concat,embeddim256_numheads2_aggregateConcat,mse,0.9077820301055908,0.04819858675103551,0.05984644993306186
256,2,concat,embeddim256_numheads2_aggregateConcat,nb,8.010761642456055,0.1481460652615184,0.183947635710773
256,2,concat,embeddim256_numheads2_aggregateConcat,num_epochs,197.4,56.02053195034835,69.55867768297136
256,2,concat,embeddim256_numheads2_aggregateConcat,r2,0.7625896334648132,0.012900810528652006,0.016018471981075286
256,2,concat,embeddim256_numheads2_aggregateConcat,rmse,0.9525049090385437,0.025407294780408398,0.03154732322058358
256,2,concat,embeddim256_numheads2_aggregateConcat,time,91.899050693959,25.52292340101691,31.690895115955126
256,2,mean,embeddim256_numheads2_aggregateMean,best_epoch,103.0,9.772410142846033,12.134049850053247
256,2,mean,embeddim256_numheads2_aggregateMean,kld,87.43638763427734,6.628707586813046,8.230627565165923
256,2,mean,embeddim256_numheads2_aggregateMean,loss,7.952605867385865,0.07367535138606773,0.09148003137109219
256,2,mean,embeddim256_numheads2_aggregateMean,mae,0.5744110226631165,0.008183506803228111,0.010161165776623928
256,2,mean,embeddim256_numheads2_aggregateMean,mse,0.8683207750320434,0.02667061304121754,0.03311594002330369
256,2,mean,embeddim256_numheads2_aggregateMean,nb,7.965549182891846,0.10629257740180116,0.13197966663610372
256,2,mean,embeddim256_numheads2_aggregateMean,num_epochs,147.8,13.442470011125186,16.691031059747928
256,2,mean,embeddim256_numheads2_aggregateMean,r2,0.7729245781898498,0.00694092513882289,0.008618296859103857
256,2,mean,embeddim256_numheads2_aggregateMean,rmse,0.931748342514038,0.014396185691971822,0.01787522548517759
256,2,mean,embeddim256_numheads2_aggregateMean,time,68.36237109303474,5.984010982228577,7.4301310014891815
256,4,concat,embeddim256_numheads4_aggregateConcat,best_epoch,159.4,37.90514476954283,47.06545360704313
256,4,concat,embeddim256_numheads4_aggregateConcat,kld,78.3786865234375,14.323365132251732,17.784806817844107
256,4,concat,embeddim256_numheads4_aggregateConcat,loss,8.032415580749511,0.1848514288891677,0.22952336426820333
256,4,concat,embeddim256_numheads4_aggregateConcat,mae,0.5800057053565979,0.02669841658468854,0.03315046268225412
256,4,concat,embeddim256_numheads4_aggregateConcat,mse,0.8851691842079162,0.08049479006049721,0.09994748286108975
256,4,concat,embeddim256_numheads4_aggregateConcat,nb,8.065444660186767,0.2482005162898219,0.3081816454126595
256,4,concat,embeddim256_numheads4_aggregateConcat,num_epochs,196.4,53.691712582110846,66.66706651511123
256,4,concat,embeddim256_numheads4_aggregateConcat,r2,0.7685281872749329,0.02085620616649637,0.02589640033605393
256,4,concat,embeddim256_numheads4_aggregateConcat,rmse,0.9400584101676941,0.04271094652762189,0.05303264463255427
